Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2018-01-02,138.2406768798828,138.3822929513824,135.6916416138982,136.97500518688977,1067600
2018-01-03,139.400146484375,139.56831390129196,137.7892938647005,138.09907737010056,1427900
2018-01-04,141.58628845214844,142.79884407107681,140.6126947765654,141.07294028731854,1896800
2018-01-05,142.82540893554688,143.68393793850242,142.10849602705397,143.17944917170354,1699500
2018-01-08,142.7722930908203,143.07321713482133,142.0199829808178,142.59527974171695,936700
2018-01-09,144.16188049316406,145.58686028580598,143.34760825526203,143.6839295784749,3366400
2018-01-10,143.9317169189453,144.41851365936532,142.9404315604538,144.00252494530187,2416800
2018-01-11,144.98497009277344,146.99410571610738,144.5424300394995,145.25049682578793,2007100
2018-01-12,145.28590393066406,146.14443277259974,144.48933718290488,145.20624995693845,2644400
2018-01-16,143.47152709960938,146.24181935288544,141.80757175515623,145.59571449253562,2754100
2018-01-17,144.67518615722656,145.35668804953346,142.90502611544366,144.75484011784695,1751900
2018-01-18,142.9404754638672,145.60456243569848,142.85196202742253,144.25039059067169,1746700
2018-01-19,143.2767791748047,143.69276792622165,142.75457162169,143.55999780041228,1678800
2018-01-22,142.16160583496094,143.11749426277103,141.26767951606442,143.00244299733194,1523400
2018-01-23,140.9313201904297,142.32974856403118,140.29406134916186,141.31191170922273,1775300
2018-01-24,142.38284301757812,143.41838519869427,140.71004203189028,140.81626083615333,3701100
2018-01-25,144.57785034179688,147.76413083235826,143.20597338512044,147.15342335772317,3391800
2018-01-26,146.64892578125,147.1357225434458,143.542285947669,144.87876555890213,1870000
2018-01-29,144.11761474609375,147.03838219144217,142.24124898961952,146.2152505589542,2982800
2018-01-30,142.25009155273438,144.21497068721462,142.19698890130283,144.00254657623628,2007700
2018-01-31,142.9315948486328,143.67505891549607,141.64821785779026,142.87847869649886,3570500
2018-02-01,141.46238708496094,142.40941599069572,140.6658067055283,141.47123302613937,1520800
2018-02-02,137.23170471191406,139.26739212515434,137.1431912788478,138.70978720839514,2086200
2018-02-05,133.04527282714844,138.81598647062913,132.7885919856014,136.32006712899243,2593900
2018-02-06,137.4617919921875,138.41768014739537,131.00956382609812,132.8947753079447,3718100
2018-02-07,132.77085876464844,136.99269455397527,132.7620128256835,136.79797585474424,2248000
2018-02-08,127.5135269165039,133.31079215063352,127.49582152880893,132.65584136371103,2054300
2018-02-09,132.30181884765625,133.31966944494593,128.07113547418834,128.59332968644043,3116200
2018-02-12,136.08106994628906,137.16971472438908,133.2045595246602,133.5320348509807,3099700
2018-02-13,136.1519012451172,136.70064669764912,134.60301075338703,135.17830753392835,1402800
2018-02-14,137.24937438964844,138.28491646187544,134.53217206347782,134.75344208331907,1622000
2018-02-15,137.89547729492188,138.34686326771012,135.52345568996094,138.31146600730028,1634200
2018-02-16,135.95718383789062,137.30250965967454,135.59429767786116,136.78916147102998,1589400
2018-02-20,135.94833374023438,136.53247644956997,134.21357048319166,134.7534699835988,2590500
2018-02-21,135.18711853027344,137.84235842162573,135.18711853027344,135.83322312236626,1834100
2018-02-22,136.01028442382812,137.15204554307468,135.5411929578596,136.18729777801852,1627100
2018-02-23,137.7361602783203,137.8423790734573,135.01897140513745,136.57670751289126,1593400
2018-02-26,137.92205810546875,138.05481474195273,136.00143556790044,137.57687734535745,1018600
2018-02-27,136.30235290527344,137.47066526983974,135.90406951017212,137.09891969547607,1239400
2018-02-28,132.54075622558594,136.74488705744926,132.46110225108472,136.43510359405337,1541700
2018-03-01,130.9210662841797,132.83284282637587,129.74390795510294,132.06282734629096,1918000
2018-03-02,132.257568359375,132.74436531969843,129.79704572929242,130.3192534714155,1420600
2018-03-05,135.18711853027344,135.78896642312736,131.44322055968777,131.7087472498727,1852900
2018-03-06,136.73109436035156,137.63878265170143,135.05811649579005,136.20606443420178,1470000
2018-03-07,138.0214385986328,138.64435659998065,135.53864699374023,135.75222469931407,1821700
2018-03-08,140.4952850341797,140.68215359526087,138.32395980053838,138.59092846638762,2190900
2018-03-09,142.46197509765625,142.54206165109957,139.84570572308112,140.5576178815212,1340300
2018-03-12,143.36959838867188,145.4697308349589,142.48860596473918,144.74001746953385,1787800
2018-03-13,142.71116638183594,144.15279247989344,141.55432420521086,144.05490437186853,1678500
2018-03-14,140.19276428222656,143.48535639399321,140.13937324536036,143.2183876310668,1611600
2018-03-15,138.52867126464844,140.98475385106155,138.42188919785488,140.2372522263177,1491600
2018-03-16,137.3273162841797,138.2349909034053,136.28613693982126,137.62096693366317,2276000
2018-03-19,133.10926818847656,135.53865533249348,132.1926858775465,133.71438469027336,2058400
2018-03-20,133.6787872314453,134.49748140319593,133.36732144086238,133.9991470011385,837700
2018-03-21,135.0047149658203,136.0458807579154,133.47410878122074,134.01694020225423,826700
2018-03-22,130.0035858154297,134.07926981846853,129.83450511643804,133.5364382168311,1351300
2018-03-23,126.85336303710938,131.3027969312304,126.48850619892875,130.67987890177238,1232100
2018-03-26,130.02139282226562,130.33285871019453,127.85006632444825,129.03361768854046,1068200
2018-03-27,128.2415771484375,130.94682683189583,127.38727991342262,130.08363561787857,856500
2018-03-28,126.50630187988281,128.87340386083255,125.7943897740626,128.54413653446673,1236200
2018-03-29,128.41062927246094,129.35390682372665,124.81548007947403,125.17144283939845,1461000
2018-04-02,126.45289611816406,128.90897833962003,125.12696014525979,128.16147682594982,2028000
2018-04-03,127.82337951660156,128.3573171955757,125.83002757084392,126.33726972372928,1079000
2018-04-04,129.05137634277344,129.30054353887053,124.58414119230041,125.5808099766888,1132800
2018-04-05,130.55531311035156,131.55198209348137,129.32726484285482,129.92348743659116,988100
2018-04-06,127.41400909423828,130.38624187621545,126.66650730271719,129.38066526090415,1188600
2018-04-09,128.0991668701172,129.87004600277135,127.08469674061163,128.1881609570492,1231700
2018-04-10,130.53749084472656,131.87232098316971,129.11366659894944,130.05694439087418,1089400
2018-04-11,128.67764282226562,129.62981468261432,128.2326994011355,129.24716985816835,890700
2018-04-12,130.74217224121094,131.40958736783074,128.84670893646012,129.3984480079108,1001200
2018-04-13,130.39511108398438,131.48966804065816,129.7543915048107,131.1248247741635,716500
2018-04-16,134.55087280273438,134.55087280273438,130.82224517763078,131.70323794134308,2211500
2018-04-17,137.8612518310547,138.0748295364833,134.11483626782848,135.21828713272456,2268500
2018-04-18,136.3751678466797,137.8790788849053,136.18828562251937,137.7633892423967,971000
2018-04-19,134.87123107910156,136.0191925686688,133.85676074663888,136.0191925686688,839000
2018-04-20,134.08816528320312,134.6932954979407,133.17158276878112,134.6043013674035,974700
2018-04-23,133.80332946777344,134.1325831147909,132.67316985481935,133.07361604849274,865900
2018-04-24,130.61756896972656,134.58646963329682,128.94457762563056,134.07922769567872,1221000
2018-04-25,133.26055908203125,136.30397055484042,132.21939307122253,135.6543569402872,2062400
2018-04-26,138.81344604492188,139.4274565274724,133.55421182743567,134.76445841181936,3037100
2018-04-27,136.35733032226562,139.0180963476182,135.06699736951072,138.82232019439,1734000
2018-04-30,135.7255401611328,136.90909124871817,135.21829816134118,136.90909124871817,1411300
2018-05-01,136.4196319580078,136.49082452246435,134.426280889005,135.30727359823703,985100
2018-05-02,134.5864715576172,137.0603555370578,134.18601167331144,136.94466591905004,1591800
2018-05-03,136.01025390625,137.23830166207594,133.8923331995389,134.6576361580319,1537900
2018-05-04,137.54981994628906,138.11934699966642,134.66658160060598,134.92464281819738,1066500
2018-05-07,138.163818359375,139.75672332016595,137.62098687341864,138.6888618860897,897100
2018-05-08,137.0425567626953,137.93244349492062,136.4374403025072,137.4430030764779,1041200
2018-05-09,138.38632202148438,139.0804327928882,136.36628831479283,137.91468299934073,1365000
2018-05-10,139.75669860839844,140.59319421707076,138.71553287587832,138.9113090216779,1250200
2018-05-11,140.27285766601562,141.4831042315941,139.28508279573768,139.6499260562985,1166100
2018-05-14,141.00254821777344,141.29621246511604,140.05927046614835,140.8245735893035,1150300
2018-05-15,141.11819458007812,141.18047957058337,139.82786194595093,140.5397602416145,1344600
2018-05-16,141.49200439453125,142.21281054623003,140.71780720620222,141.01147148626382,1273400
2018-05-17,142.25729370117188,142.5331564158669,141.06484873764134,141.5008845465745,1520500
2018-05-18,141.9725341796875,142.70224787383594,141.61658489091923,141.73227452013666,1882500
2018-05-21,142.80014038085938,143.50314500042404,142.3818924853959,142.8713329565335,746800
2018-05-22,141.67889404296875,143.88580967070624,141.55431042475607,143.02261832359113,1044300
2018-05-23,141.1983642578125,141.46533306520766,139.80124877224742,140.8335073403257,1375900
2018-05-24,140.1571807861328,141.73228433411717,139.48976563953218,141.65218419679218,1282400
2018-05-25,139.7745361328125,140.11268390741293,138.42190429862296,139.59654789728015,1094600
2018-05-29,136.4285125732422,139.31175004764478,136.37512154977784,138.75111714408519,1318000
2018-05-30,139.25839233398438,139.40967146284913,137.11376185457,137.46081716869384,1223300
2018-05-31,139.05369567871094,139.84569432604863,138.34179715688362,139.54313609641264,2504700
2018-06-01,140.4241485595703,141.07376216229105,139.36518102860344,140.24617390413124,1025200
2018-06-04,140.18385314941406,141.42079514031224,139.95248749177188,141.0470443493855,641200
2018-06-05,141.94580078125,142.58652019292174,141.22499483776713,141.37627392405193,1179300
2018-06-06,145.15267944335938,145.3852479915454,141.18997836042513,142.22761708160598,1555000
2018-06-07,142.9164276123047,144.25819788010085,142.4512767643613,143.91827837785075,1227000
2018-06-08,142.9700927734375,143.20266136717507,141.67305094251444,142.22764493868465,1079700
2018-06-11,143.6319580078125,144.24022029216442,142.42436000615754,143.0952447517025,1289000
2018-06-12,144.3207550048828,145.7340874850036,143.5246388106135,144.0076835774486,1179000
2018-06-13,143.54257202148438,145.1437450646584,143.31000344206896,144.911176485243,1048700
2018-06-14,144.50863647460938,145.43892436617725,144.16871702904098,144.7769932132586,1169000
2018-06-15,143.35470581054688,144.0882133155709,142.25445820220148,144.0882133155709,2856700
2018-06-18,141.75350952148438,141.93240943369824,140.94845309192772,141.62827821801582,972900
2018-06-19,138.9268341064453,139.87501585450332,138.47957753478119,139.81240703204776,1141300
2018-06-20,138.6674346923828,139.28465096024667,137.95182143037854,139.1057374078548,1173600
2018-06-21,139.4277801513672,139.8929308772907,138.76584906171118,138.90002059361728,2217100
2018-06-22,141.45834350585938,142.20973145936642,140.17919594090264,140.27759295737553,1341000
2018-06-25,138.4706573486328,140.97529724211813,137.13782765855512,140.97529724211813,1434500
2018-06-26,137.9250030517578,138.93580741288778,137.32568079977477,138.65849683433808,1026100
2018-06-27,139.132568359375,140.67113205840676,138.6763715698154,138.92683415810546,1399300
2018-06-28,140.15231323242188,140.16126709936623,138.0681096125044,139.43671363462076,1349500
2018-06-29,141.46725463867188,142.91637527869904,140.57274145436364,140.73376092511688,1391000
2018-07-02,141.58360290527344,141.95929695652126,140.03609829316355,140.43862665884382,1291900
2018-07-03,140.59959411621094,142.64803721928968,140.4833166685162,141.959258155665,640000
2018-07-05,144.80384826660156,145.95776466415379,144.07929452288357,144.91118551776196,1547900
2018-07-06,146.73594665527344,148.04194199818147,144.4817831060404,144.90220542298545,1642500
2018-07-09,147.42471313476562,148.74858880253606,147.42471313476562,147.66623551206294,1293700
2018-07-10,148.9096221923828,149.12431028662854,147.26372108406596,147.6930836233684,2150100
2018-07-11,146.75384521484375,147.2100557190275,145.46574391934266,145.96666916777323,1518200
2018-07-12,148.39080810546875,148.64127073300074,145.88616818095954,147.29950080728395,1913100
2018-07-13,149.20480346679688,150.02775396725164,147.42471729729448,147.728848507404,1501800
2018-07-16,149.41949462890625,150.76126456994925,149.15115156004939,150.30506770370292,1399500
2018-07-17,149.25843811035156,149.82198566199082,148.75751301964334,149.4283977623815,1854200
2018-07-18,147.6215057373047,149.42842614269878,146.92378656427692,148.69491879971758,1641300
2018-07-19,147.82723999023438,147.8898624630793,145.52834826533143,146.65542993385168,1553400
2018-07-20,148.11351013183594,148.80228917730946,145.93983576985198,145.96667007624282,1326500
2018-07-23,144.82168579101562,147.42472255378513,144.68751426682692,147.07586294170594,1745200
